ReturnKey,ReturnDate,OrderDate,SalesOrderNumber,CustomerKey,ProductKey,ReturnQuantity,UnitPrice,ReturnAmount
64,2024-11-16,2024-10-28,SO50206,236,362,2,1229.459,2458.918
65,2024-11-16,2024-10-28,SO50206,236,391,2,88.932,177.864
66,2024-05-14,2024-04-30,SO47986,236,396,2,74.838,149.676
67,2025-03-11,2025-02-28,SO53576,542,525,2,158.43,316.86
68,2025-10-11,2025-09-29,SO67266,146,525,2,158.43,316.86
69,2025-12-11,2025-11-29,SO71785,272,527,2,158.43,316.86
70,2025-12-18,2025-11-29,SO71785,272,524,2,158.43,316.86
71,2025-03-21,2025-02-28,SO53576,542,551,2,158.43,316.86
72,2025-12-09,2025-11-29,SO71836,254,551,2,158.43,316.86
73,2025-12-11,2025-11-29,SO71886,109,532,2,149.874,299.748
74,2025-03-20,2025-02-28,SO53576,542,533,2,149.874,299.748
75,2025-12-11,2025-11-29,SO71785,272,531,2,149.874,299.748
76,2025-12-19,2025-11-29,SO71886,109,533,2,149.874,299.748
77,2025-05-09,2025-04-30,SO57026,361,603,2,72.894,145.788
78,2025-11-17,2025-10-29,SO69406,361,556,2,105.294,210.588
79,2025-05-11,2025-04-30,SO57026,361,561,2,1430.442,2860.884
80,2025-03-15,2025-02-28,SO53605,308,562,2,953.628,1907.256
81,2025-11-06,2025-10-29,SO69406,361,562,2,1430.442,2860.884
82,2025-12-12,2025-11-29,SO71835,621,562,2,1430.442,2860.884
83,2025-10-10,2025-09-29,SO67266,146,590,2,461.694,923.388
84,2025-12-17,2025-11-29,SO71886,109,588,2,461.694,923.388
85,2023-11-19,2023-10-29,SO46105,218,340,2,419.459,838.918
86,2023-08-22,2023-08-01,SO45296,145,215,2,20.187,40.373
87,2025-02-18,2025-01-28,SO51726,199,497,2,602.346,1204.692
88,2025-01-18,2024-12-28,SO51146,505,492,2,602.346,1204.692
89,2025-11-13,2025-10-29,SO69406,361,499,2,602.346,1204.692
90,2024-02-06,2024-01-29,SO47066,218,323,2,469.794,939.588
91,2025-01-14,2024-12-28,SO51146,505,496,2,602.346,1204.692
92,2024-02-12,2024-01-29,SO47066,218,370,2,1466.01,2932.02
93,2024-02-17,2024-01-29,SO47066,218,329,2,469.794,939.588
94,2024-02-12,2024-01-29,SO47066,218,325,2,469.794,939.588
95,2024-08-19,2024-07-31,SO49136,343,377,2,1308.938,2617.875
96,2025-04-11,2025-03-30,SO55286,253,434,2,356.898,713.796
97,2025-11-13,2025-10-29,SO69406,361,217,2,20.994,41.988
98,2023-02-07,2023-01-29,SO43866,289,218,2,5.7,11.4
99,2023-03-11,2023-03-01,SO44126,20,218,2,5.7,11.4
100,2024-02-11,2024-01-29,SO47066,218,435,2,324.453,648.905
101,2025-05-08,2025-04-30,SO57026,361,586,2,445.41,890.82
102,2024-10-13,2024-09-28,SO49826,146,221,2,20.187,40.373
103,2025-03-21,2025-02-28,SO53576,542,512,2,218.454,436.908
104,2025-10-07,2025-09-29,SO67266,146,512,2,218.454,436.908
105,2025-12-07,2025-11-29,SO71836,254,512,2,218.454,436.908
106,2025-11-15,2025-10-29,SO69406,361,572,2,445.41,890.82
107,2025-10-19,2025-09-29,SO67266,146,589,2,461.694,923.388
108,2025-12-14,2025-11-29,SO71886,109,589,2,461.694,923.388
109,2025-12-14,2025-11-29,SO71886,109,359,2,1376.994,2753.988
110,2025-03-09,2025-02-28,SO53576,542,599,2,323.994,647.988
111,2025-12-06,2025-11-29,SO71836,254,599,2,323.994,647.988
112,2025-05-16,2025-04-30,SO57136,433,234,2,29.994,59.988
113,2025-03-15,2025-02-28,SO53576,542,298,2,809.76,1619.52
114,2025-10-16,2025-09-29,SO67266,146,298,2,809.76,1619.52
115,2023-08-15,2023-08-01,SO45336,326,351,2,2024.994,4049.988
116,2025-12-11,2025-11-29,SO71836,254,306,2,809.76,1619.52
117,2023-08-21,2023-08-01,SO45296,145,344,2,2039.994,4079.988
118,2023-03-17,2023-03-01,SO44126,20,350,2,2024.994,4049.988
119,2023-08-16,2023-08-01,SO45336,326,350,2,2024.994,4049.988
120,2023-08-18,2023-08-01,SO45296,145,350,2,2024.994,4049.988
121,2024-02-09,2024-01-29,SO47066,218,439,2,780.818,1561.636
122,2023-03-16,2023-03-01,SO44126,20,345,2,2039.994,4079.988
123,2024-02-06,2024-01-29,SO47066,218,239,2,780.818,1561.636
124,2024-02-07,2024-01-29,SO47066,218,242,2,780.818,1561.636
125,2025-01-08,2024-12-28,SO51146,505,570,2,334.058,668.115
126,2024-05-21,2024-04-30,SO47986,236,364,2,647.994,1295.988
127,2025-05-11,2025-04-30,SO57026,361,564,2,1430.442,2860.884
128,2025-11-07,2025-10-29,SO69406,361,564,2,1430.442,2860.884
129,2024-02-16,2024-01-29,SO47066,218,263,2,202.332,404.664
130,2025-01-09,2024-12-28,SO51146,505,574,2,1430.442,2860.884
131,2025-05-07,2025-04-30,SO57026,361,560,2,728.91,1457.82
132,2025-01-13,2024-12-28,SO51146,505,573,2,1430.442,2860.884
133,2025-08-14,2025-07-31,SO63156,199,576,2,1430.442,2860.884
134,2025-03-21,2025-02-28,SO53576,542,357,2,1391.994,2783.988
135,2025-11-06,2025-10-29,SO69406,361,578,2,728.91,1457.82
136,2025-11-09,2025-10-29,SO69406,361,577,2,728.91,1457.82
137,2024-05-16,2024-04-30,SO47986,236,289,2,744.273,1488.545
138,2024-05-18,2024-04-30,SO47986,236,294,2,744.273,1488.545
139,2024-11-11,2024-10-28,SO50206,236,297,2,736.146,1472.291
140,2023-08-11,2023-08-01,SO45296,145,307,2,722.595,1445.19
141,2024-08-14,2024-07-31,SO49136,343,331,2,469.794,939.588
142,2024-08-15,2024-07-31,SO49136,343,337,2,469.794,939.588
143,2025-03-09,2025-02-28,SO53576,542,353,2,1391.994,2783.988
144,2025-03-15,2025-02-28,SO53576,542,596,2,323.994,647.988
145,2025-12-20,2025-11-29,SO71886,109,361,2,1376.994,2753.988
146,2025-01-09,2024-12-28,SO51146,505,565,2,334.058,668.115
147,2025-03-12,2025-02-28,SO53576,542,513,2,218.454,436.908
148,2024-04-10,2024-03-30,SO47666,146,427,2,209.256,418.512
149,2024-05-16,2024-04-30,SO47986,236,427,2,209.256,418.512
150,2024-02-18,2024-01-29,SO47066,218,381,2,600.263,1200.525
151,2024-05-12,2024-04-30,SO47986,236,394,2,20.52,41.04
152,2025-03-14,2025-02-28,SO53576,542,398,2,26.724,53.448
153,2024-01-07,2023-12-29,SO46646,325,399,2,33.775,67.549
154,2024-10-19,2024-09-28,SO49826,146,399,2,33.775,67.549
155,2025-10-14,2025-09-29,SO67266,146,402,2,72.162,144.324
156,2024-02-08,2024-01-29,SO47066,218,407,2,65.602,131.204
157,2024-01-10,2023-12-29,SO46646,325,410,2,36.447,72.894
158,2024-11-17,2024-10-28,SO50206,236,410,2,36.447,72.894
159,2025-05-21,2025-04-30,SO57026,361,514,2,63.9,127.8
160,2025-11-09,2025-10-29,SO69406,361,514,2,63.9,127.8
161,2025-12-06,2025-11-29,SO71836,254,555,2,63.9,127.8
162,2025-01-06,2024-12-28,SO51146,505,554,2,54.942,109.884
163,2025-02-17,2025-01-28,SO51726,199,554,2,54.942,109.884
164,2025-03-16,2025-02-28,SO53576,542,515,2,16.272,32.544
165,2025-10-09,2025-09-29,SO67266,146,515,2,16.272,32.544
166,2025-11-07,2025-10-29,SO69406,361,559,2,12.144,24.288
167,2025-05-18,2025-04-30,SO57026,361,552,2,54.894,109.788
168,2025-12-06,2025-11-29,SO71836,254,552,2,54.894,109.788
169,2024-11-06,2024-10-28,SO50206,236,447,2,15.0,30.0
170,2024-11-17,2024-10-28,SO50206,236,454,2,35.994,71.988
171,2024-05-13,2024-04-30,SO47986,236,459,2,53.994,107.988
172,2024-08-10,2024-07-31,SO49136,343,460,2,53.994,107.988
173,2025-04-08,2025-03-30,SO55286,253,547,2,48.594,97.188
174,2025-12-14,2025-11-29,SO71886,109,543,2,37.254,74.508
175,2024-05-10,2024-04-30,SO47986,236,464,2,14.129,28.258
176,2025-01-11,2024-12-28,SO51146,505,523,2,31.584,63.168
177,2025-02-05,2025-01-28,SO51726,199,523,2,31.584,63.168
178,2025-05-12,2025-04-30,SO57026,361,523,2,31.584,63.168
179,2025-05-16,2025-04-30,SO57026,361,465,2,14.694,29.388
180,2024-11-16,2024-10-28,SO50206,236,466,2,14.129,28.258
181,2025-03-09,2025-02-28,SO53576,542,542,2,24.294,48.588
182,2025-12-19,2025-11-29,SO71836,254,592,2,112.998,225.996
183,2025-12-08,2025-11-29,SO71886,109,591,2,112.998,225.996
184,2025-01-05,2024-12-28,SO51136,253,606,2,323.994,647.988
185,2025-04-09,2025-03-30,SO55286,253,606,2,323.994,647.988
186,2025-07-14,2025-06-30,SO61266,668,605,2,323.994,647.988
187,2025-05-09,2025-04-30,SO57026,361,487,2,32.994,65.988
188,2025-05-20,2025-04-30,SO57136,433,487,2,32.994,65.988
189,2025-11-14,2025-10-29,SO69406,361,488,2,32.394,64.788
190,2025-03-17,2025-02-28,SO53576,542,593,2,338.994,677.988
191,2025-02-07,2025-01-28,SO51726,199,495,2,602.346,1204.692
192,2025-10-18,2025-09-29,SO67266,146,544,2,48.594,97.188
193,2024-04-17,2024-03-30,SO47666,146,224,2,5.187,10.373
194,2024-01-16,2023-12-29,SO46646,325,468,2,22.794,45.588
195,2024-10-16,2024-09-28,SO49826,146,468,2,22.794,45.588
196,2024-11-12,2024-10-28,SO50216,2,468,2,22.794,45.588
197,2025-07-14,2025-06-30,SO61266,668,482,2,5.394,10.788
198,2025-12-15,2025-11-29,SO71836,254,225,2,5.394,10.788
199,2025-07-08,2025-06-30,SO61256,325,474,2,41.994,83.988
200,2025-07-10,2025-06-30,SO61256,325,475,2,41.994,83.988
201,2025-12-08,2025-11-29,SO71836,254,475,2,41.994,83.988
202,2024-11-16,2024-10-28,SO50216,2,233,2,28.84,57.681
203,2024-04-20,2024-03-30,SO47666,146,236,2,28.84,57.681
204,2024-05-17,2024-04-30,SO47986,236,236,2,28.84,57.681
205,2024-10-16,2024-09-28,SO49866,200,236,2,28.84,57.681
206,2024-11-07,2024-10-28,SO50206,236,236,2,28.84,57.681
207,2023-08-12,2023-08-01,SO45296,145,232,2,28.84,57.681
208,2023-01-08,2022-12-29,SO43677,679,215,2,20.187,40.373
209,2023-02-17,2023-01-29,SO43907,342,212,2,20.187,40.373
210,2023-02-18,2023-01-29,SO43916,348,215,2,20.187,40.373
211,2023-03-15,2023-03-01,SO44085,155,223,2,5.187,10.373
212,2023-03-12,2023-03-01,SO44090,417,220,2,20.187,40.373
213,2023-03-19,2023-03-01,SO44100,293,296,2,714.704,1429.409
214,2023-03-14,2023-03-01,SO44105,453,219,2,5.7,11.4
215,2023-03-17,2023-03-01,SO44111,460,235,2,28.84,57.681
216,2023-03-16,2023-03-01,SO44113,187,220,2,20.187,40.373
217,2023-03-15,2023-03-01,SO44127,608,232,2,28.84,57.681
218,2023-04-21,2023-03-31,SO44300,480,232,2,28.84,57.681
219,2023-04-13,2023-03-31,SO44305,676,296,2,714.704,1429.409
220,2023-04-14,2023-03-31,SO44316,431,223,2,5.187,10.373
221,2023-05-20,2023-05-01,SO44488,206,232,2,28.84,57.681
222,2023-05-18,2023-05-01,SO44517,527,235,2,28.84,57.681
223,2023-06-15,2023-05-31,SO44744,173,232,2,28.84,57.681
224,2023-06-15,2023-05-31,SO44774,588,223,2,5.187,10.373
225,2023-06-07,2023-05-31,SO44787,75,296,2,714.704,1429.409
226,2023-08-14,2023-08-01,SO45270,206,232,2,28.84,57.681
227,2023-08-21,2023-08-01,SO45308,623,304,2,714.704,1429.409
228,2023-08-19,2023-08-01,SO45330,63,218,2,5.7,11.4
229,2023-09-13,2023-08-29,SO45542,293,232,2,28.84,57.681
230,2023-09-15,2023-08-29,SO45555,366,223,2,5.187,10.373
231,2023-09-06,2023-08-29,SO45565,75,218,2,5.7,11.4
232,2023-09-18,2023-08-29,SO45571,608,293,2,722.595,1445.19
233,2023-09-10,2023-08-29,SO45576,279,220,2,20.187,40.373
234,2023-10-16,2023-09-29,SO45795,670,223,2,5.187,10.373
235,2023-11-14,2023-10-29,SO46028,206,235,2,28.84,57.681
236,2023-11-09,2023-10-29,SO46082,312,220,2,20.187,40.373
237,2023-12-08,2023-11-29,SO46341,93,223,2,5.187,10.373
238,2023-12-07,2023-11-29,SO46366,674,232,2,28.84,57.681
239,2023-12-20,2023-11-29,SO46374,75,235,2,28.84,57.681
240,2023-12-19,2023-11-29,SO46380,608,229,2,28.84,57.681
241,2024-01-05,2023-12-29,SO46605,622,213,2,16.822,33.644
242,2024-01-07,2023-12-29,SO46608,442,445,2,35.994,71.988
243,2024-01-10,2023-12-29,SO46630,530,468,2,22.794,45.588
244,2024-01-19,2023-12-29,SO46638,203,387,2,600.263,1200.525
245,2024-01-11,2023-12-29,SO46647,506,308,2,744.273,1488.545
246,2024-01-19,2023-12-29,SO46649,380,224,2,5.187,10.373
247,2024-01-17,2023-12-29,SO46666,234,447,2,15.0,30.0
248,2024-01-15,2023-12-29,SO46668,221,460,2,53.994,107.988
249,2024-01-16,2023-12-29,SO46671,523,439,2,780.818,1561.636
250,2024-02-10,2024-01-29,SO46966,43,308,2,744.273,1488.545
251,2024-02-16,2024-01-29,SO46972,650,394,2,20.52,41.04
252,2024-02-05,2024-01-29,SO46984,677,469,2,22.794,45.588
253,2024-02-18,2024-01-29,SO47012,66,457,2,44.994,89.988
254,2024-02-08,2024-01-29,SO47018,167,456,2,44.994,89.988
255,2024-02-11,2024-01-29,SO47018,167,387,2,600.263,1200.525
256,2024-02-08,2024-01-29,SO47034,257,459,2,53.994,107.988
257,2024-02-05,2024-01-29,SO47041,79,341,2,469.794,939.588
258,2024-02-05,2024-01-29,SO47065,546,297,2,736.146,1472.291
259,2024-03-12,2024-02-29,SO47352,149,233,2,28.84,57.681
260,2024-03-10,2024-02-29,SO47355,24,331,2,469.794,939.588
261,2024-03-07,2024-02-29,SO47374,23,456,2,44.994,89.988
262,2024-03-10,2024-02-29,SO47385,379,242,2,780.818,1561.636
263,2024-03-21,2024-02-29,SO47394,197,221,2,20.187,40.373
264,2024-03-08,2024-02-29,SO47398,461,387,2,600.263,1200.525
265,2024-03-21,2024-02-29,SO47415,262,456,2,44.994,89.988
266,2024-03-07,2024-02-29,SO47416,90,461,2,53.994,107.988
267,2024-03-17,2024-02-29,SO47435,75,468,2,22.794,45.588
268,2024-04-10,2024-03-30,SO47687,203,464,2,14.129,28.258
269,2024-04-17,2024-03-30,SO47715,292,456,2,44.994,89.988
270,2024-04-20,2024-03-30,SO47716,660,385,2,600.263,1200.525
271,2024-05-20,2024-04-30,SO48018,512,341,2,469.794,939.588
272,2024-05-13,2024-04-30,SO48066,385,448,2,11.994,23.988
273,2024-05-16,2024-04-30,SO48089,546,453,2,35.994,71.988
274,2024-05-15,2024-04-30,SO48090,135,224,2,5.187,10.373
275,2024-06-13,2024-05-30,SO48321,497,230,2,28.84,57.681
276,2024-06-08,2024-05-30,SO48339,461,236,2,28.84,57.681
277,2024-06-16,2024-05-30,SO48363,130,454,2,35.994,71.988
278,2024-07-16,2024-06-30,SO48735,670,216,2,20.187,40.373
279,2024-08-07,2024-07-31,SO49101,487,236,2,28.84,57.681
280,2024-08-21,2024-07-31,SO49104,97,385,2,600.263,1200.525
281,2024-08-15,2024-07-31,SO49116,527,387,2,600.263,1200.525
282,2024-08-12,2024-07-31,SO49127,436,460,2,53.994,107.988
283,2024-09-07,2024-08-28,SO49479,72,233,2,28.84,57.681
284,2024-09-09,2024-08-28,SO49496,461,369,2,1466.01,2932.02
285,2024-09-18,2024-08-28,SO49519,424,221,2,20.187,40.373
286,2024-10-15,2024-09-28,SO49828,514,466,2,14.129,28.258
287,2024-10-07,2024-09-28,SO49828,514,448,2,11.994,23.988
288,2024-10-16,2024-09-28,SO49831,475,445,2,35.994,71.988
289,2024-10-13,2024-09-28,SO49843,594,224,2,5.187,10.373
290,2024-10-19,2024-09-28,SO49855,442,297,2,736.146,1472.291
291,2024-10-05,2024-09-28,SO49870,660,236,2,28.84,57.681
292,2024-11-06,2024-10-28,SO50191,206,389,2,600.263,1200.525
293,2024-11-18,2024-10-28,SO50199,102,389,2,600.263,1200.525
294,2024-11-12,2024-10-28,SO50210,43,459,2,53.994,107.988
295,2024-11-17,2024-10-28,SO50226,78,385,2,600.263,1200.525
296,2024-11-05,2024-10-28,SO50230,62,460,2,53.994,107.988
297,2024-11-08,2024-10-28,SO50259,558,383,2,600.263,1200.525
298,2024-11-07,2024-10-28,SO50269,583,468,2,22.794,45.588
299,2024-11-13,2024-10-28,SO50272,97,233,2,28.84,57.681
300,2024-11-17,2024-10-28,SO50280,233,461,2,53.994,107.988
301,2024-11-10,2024-10-28,SO50294,312,213,2,20.187,40.373
302,2024-12-18,2024-11-28,SO50664,173,337,2,469.794,939.588
303,2024-12-14,2024-11-28,SO50672,239,445,2,35.994,71.988
304,2024-12-11,2024-11-28,SO50682,197,297,2,736.146,1472.291
305,2024-12-18,2024-11-28,SO50689,461,331,2,469.794,939.588
306,2024-12-18,2024-11-28,SO50720,490,360,2,1229.459,2458.918
307,2024-12-07,2024-11-28,SO50726,170,341,2,469.794,939.588
308,2024-12-18,2024-11-28,SO50738,130,453,2,35.994,71.988
309,2025-01-11,2024-12-28,SO51081,676,593,2,338.994,677.988
310,2025-01-07,2024-12-28,SO51088,125,298,2,809.76,1619.52
311,2025-01-18,2024-12-28,SO51102,437,475,2,41.994,83.988
312,2025-01-11,2024-12-28,SO51121,491,240,2,858.9,1717.8
313,2025-01-15,2024-12-28,SO51157,414,295,2,818.7,1637.4
314,2025-01-15,2024-12-28,SO51160,496,591,2,338.994,677.988
315,2025-01-14,2024-12-28,SO51160,496,467,2,14.694,29.388
316,2025-02-17,2025-01-28,SO51715,43,475,2,41.994,83.988
317,2025-02-08,2025-01-28,SO51716,363,575,2,1430.442,2860.884
318,2025-02-15,2025-01-28,SO51748,233,355,2,1391.994,2783.988
319,2025-02-06,2025-01-28,SO51784,558,243,2,858.9,1717.8
320,2025-02-05,2025-01-28,SO51795,77,231,2,29.994,59.988
321,2025-02-05,2025-01-28,SO51825,345,595,2,338.994,677.988
322,2025-02-15,2025-01-28,SO51827,131,576,2,1430.442,2860.884
323,2025-02-17,2025-01-28,SO51828,79,234,2,29.994,59.988
324,2025-02-17,2025-01-28,SO51833,385,309,2,818.7,1637.4
325,2025-02-08,2025-01-28,SO51842,257,376,2,1466.01,2932.02
326,2025-02-12,2025-01-28,SO51850,263,472,2,38.1,76.2
327,2025-03-20,2025-02-28,SO53454,149,592,2,338.994,677.988
328,2025-03-18,2025-02-28,SO53480,327,484,2,4.77,9.54
329,2025-03-17,2025-02-28,SO53509,156,471,2,38.1,76.2
330,2025-03-10,2025-02-28,SO53510,685,355,2,1391.994,2783.988
331,2025-03-18,2025-02-28,SO53536,118,593,2,338.994,677.988
332,2025-03-17,2025-02-28,SO53542,613,544,2,48.594,97.188
333,2025-03-07,2025-02-28,SO53550,649,605,2,323.994,647.988
334,2025-03-19,2025-02-28,SO53567,179,575,2,1430.442,2860.884
335,2025-03-20,2025-02-28,SO53583,75,593,2,338.994,677.988
336,2025-03-19,2025-02-28,SO53606,61,475,2,41.994,83.988
337,2025-04-10,2025-03-30,SO55253,530,231,2,29.994,59.988
338,2025-04-12,2025-03-30,SO55264,491,472,2,38.1,76.2
339,2025-04-19,2025-03-30,SO55277,506,475,2,41.994,83.988
340,2025-04-08,2025-03-30,SO55283,442,355,2,1391.994,2783.988
341,2025-04-20,2025-03-30,SO55297,496,490,2,32.394,64.788
342,2025-04-09,2025-03-30,SO55324,523,606,2,323.994,647.988
343,2025-05-16,2025-04-30,SO57027,441,491,2,32.394,64.788
344,2025-05-13,2025-04-30,SO57037,381,309,2,818.7,1637.4
345,2025-05-08,2025-04-30,SO57039,207,483,2,72.0,144.0
346,2025-05-13,2025-04-30,SO57076,684,583,2,1020.594,2041.188
347,2025-05-15,2025-04-30,SO57091,378,290,2,818.7,1637.4
348,2025-05-15,2025-04-30,SO57097,552,580,2,1020.594,2041.188
349,2025-05-17,2025-04-30,SO57126,45,376,2,1466.01,2932.02
350,2025-05-17,2025-04-30,SO57129,323,593,2,338.994,677.988
351,2025-05-11,2025-04-30,SO57141,666,240,2,858.9,1717.8
352,2025-05-19,2025-04-30,SO57157,257,580,2,1020.594,2041.188
353,2025-06-20,2025-05-30,SO58911,173,581,2,1020.594,2041.188
354,2025-06-08,2025-05-30,SO58918,678,487,2,32.994,65.988
355,2025-06-18,2025-05-30,SO58972,10,491,2,32.394,64.788
356,2025-06-16,2025-05-30,SO58995,624,376,2,1466.01,2932.02
357,2025-06-11,2025-05-30,SO59027,21,491,2,32.394,64.788
358,2025-06-06,2025-05-30,SO59029,648,544,2,48.594,97.188
359,2025-06-12,2025-05-30,SO59037,262,225,2,5.394,10.788
360,2025-06-06,2025-05-30,SO59074,54,440,2,858.9,1717.8
361,2025-06-16,2025-05-30,SO59075,179,488,2,32.394,64.788
362,2025-07-18,2025-06-30,SO61181,125,595,2,338.994,677.988
363,2025-07-10,2025-06-30,SO61210,523,487,2,32.994,65.988
364,2025-07-09,2025-06-30,SO61222,119,475,2,41.994,83.988
365,2025-07-16,2025-06-30,SO61224,618,483,2,72.0,144.0
366,2025-07-15,2025-06-30,SO61243,221,606,2,323.994,647.988
367,2025-07-20,2025-06-30,SO61243,221,472,2,38.1,76.2
368,2025-07-11,2025-06-30,SO61248,496,295,2,818.7,1637.4
369,2025-08-15,2025-07-31,SO63123,18,476,2,41.994,83.988
370,2025-08-16,2025-07-31,SO63136,552,581,2,1020.594,2041.188
371,2025-08-14,2025-07-31,SO63146,259,606,2,323.994,647.988
372,2025-08-10,2025-07-31,SO63240,131,573,2,1430.442,2860.884
373,2025-08-08,2025-07-31,SO63268,541,357,2,1391.994,2783.988
374,2025-08-14,2025-07-31,SO63280,435,476,2,41.994,83.988
375,2025-09-18,2025-08-29,SO65168,509,575,2,1430.442,2860.884
376,2025-09-05,2025-08-29,SO65232,490,298,2,809.76,1619.52
377,2025-09-19,2025-08-29,SO65236,54,477,2,2.994,5.988
378,2025-09-17,2025-08-29,SO65309,543,476,2,41.994,83.988
379,2025-10-20,2025-09-29,SO67262,622,605,2,323.994,647.988
380,2025-10-15,2025-09-29,SO67272,119,595,2,338.994,677.988
381,2025-10-11,2025-09-29,SO67274,437,475,2,41.994,83.988
382,2025-11-16,2025-10-29,SO69396,210,477,2,2.994,5.988
383,2025-11-15,2025-10-29,SO69400,101,481,2,5.394,10.788
384,2025-11-06,2025-10-29,SO69422,650,290,2,818.7,1637.4
385,2025-11-14,2025-10-29,SO69442,233,355,2,1391.994,2783.988
386,2025-11-19,2025-10-29,SO69479,552,481,2,5.394,10.788
387,2025-11-15,2025-10-29,SO69501,345,309,2,818.7,1637.4
388,2025-11-17,2025-10-29,SO69505,385,298,2,809.76,1619.52
389,2025-11-11,2025-10-29,SO69510,422,491,2,32.394,64.788
390,2025-11-16,2025-10-29,SO69536,435,544,2,48.594,97.188
