SalesDetailsKey,SalesHeaderKey,SalesOrderNumber,ProductKey,ProductSubcategoryKey,OrderQuantity,UnitPrice,ExtendedAmount
132,2926,SO43673,285,4,2,178.5808,357.1616
133,2926,SO43673,324,13,2,419.4589,838.9178
134,2926,SO43673,342,17,2,419.4589,838.9178
135,2926,SO43673,232,7,3,28.8404,86.5212
136,2926,SO43673,212,18,4,20.1865,80.746
137,2926,SO43673,326,13,1,419.4589,419.4589
138,2926,SO43673,315,17,1,874.794,874.794
139,2926,SO43673,270,3,1,183.9382,183.9382
140,1432,SO43674,319,17,3,874.794,2624.382
141,2609,SO43675,326,13,2,419.4589,838.9178
142,2609,SO43675,315,17,1,874.794,874.794
143,2609,SO43675,215,18,1,20.1865,20.1865
144,2609,SO43675,223,10,2,5.1865,10.373
145,2609,SO43675,285,4,2,178.5808,357.1616
146,2609,SO43675,319,17,2,874.794,1749.588
147,2609,SO43675,232,7,3,28.8404,86.5212
148,2609,SO43675,324,13,4,419.4589,1677.8356
149,2609,SO43675,220,18,5,20.1865,100.9325
150,2081,SO43676,348,17,3,2024.994,6074.982
151,2081,SO43676,219,9,1,5.7,5.7
152,2081,SO43676,218,9,4,5.7,22.8
153,2081,SO43676,349,17,2,2024.994,4049.988
154,2081,SO43676,351,17,2,2024.994,4049.988
155,1218,SO43677,212,18,1,20.1865,20.1865
156,1218,SO43677,215,18,2,20.1865,40.373
157,1218,SO43677,270,3,2,183.9382,367.8764
158,1218,SO43677,332,15,2,419.4589,838.9178
159,1218,SO43677,232,7,3,28.8404,86.5212
160,1218,SO43677,322,13,4,419.4589,1677.8356
161,1218,SO43677,223,10,5,5.1865,25.9325
162,1218,SO43677,319,17,1,874.794,874.794
163,1218,SO43677,342,17,1,419.4589,419.4589
164,1218,SO43677,328,15,1,419.4589,419.4589
165,1218,SO43677,315,17,1,874.794,874.794
166,1218,SO43677,314,17,1,2146.962,2146.962
167,475,SO43678,220,18,3,20.1865,60.5595
168,475,SO43678,322,13,1,419.4589,419.4589
169,475,SO43678,342,17,1,419.4589,419.4589
170,475,SO43678,332,15,1,419.4589,419.4589
171,475,SO43678,316,17,1,874.794,874.794
172,475,SO43678,315,17,1,874.794,874.794
173,475,SO43678,317,17,1,874.794,874.794
174,475,SO43678,212,18,1,20.1865,20.1865
175,475,SO43678,235,7,1,28.8404,28.8404
176,475,SO43678,232,7,2,28.8404,57.6808
177,475,SO43678,285,4,2,178.5808,357.1616
178,475,SO43678,275,3,2,356.898,713.796
179,475,SO43678,270,3,2,183.9382,367.8764
180,475,SO43678,262,3,2,183.9382,367.8764
181,475,SO43678,319,17,2,874.794,1749.588
182,475,SO43678,324,13,2,419.4589,838.9178
183,475,SO43678,326,13,3,419.4589,1258.3767
184,475,SO43678,223,10,3,5.1865,15.5595
185,475,SO43678,215,18,4,20.1865,80.746
186,1250,SO43679,232,7,2,28.8404,57.6808
187,1250,SO43679,342,17,2,419.4589,838.9178
188,1250,SO43679,322,13,1,419.4589,419.4589
189,356,SO43680,220,18,1,20.1865,20.1865
190,356,SO43680,215,18,2,20.1865,40.373
191,356,SO43680,232,7,2,28.8404,57.6808
192,356,SO43680,285,4,2,178.5808,357.1616
193,356,SO43680,262,3,2,183.9382,367.8764
194,356,SO43680,328,15,1,419.4589,419.4589
195,356,SO43680,317,17,2,874.794,1749.588
196,356,SO43680,322,13,3,419.4589,1258.3767
197,356,SO43680,332,15,3,419.4589,1258.3767
198,356,SO43680,223,10,3,5.1865,15.5595
199,356,SO43680,212,18,4,20.1865,80.746
200,356,SO43680,324,13,1,419.4589,419.4589
201,356,SO43680,314,17,2,2146.962,4293.924
202,356,SO43680,319,17,1,874.794,874.794
203,356,SO43680,270,3,1,183.9382,183.9382
204,2224,SO43681,342,17,3,419.4589,1258.3767
205,2224,SO43681,326,13,5,419.4589,2097.2945
206,2224,SO43681,232,7,6,28.8404,173.0424
207,2224,SO43681,229,7,2,28.8404,57.6808
208,2224,SO43681,338,15,1,419.4589,419.4589
209,2224,SO43681,317,17,1,874.794,874.794
210,2224,SO43681,314,17,1,2146.962,2146.962
211,2224,SO43681,275,3,1,356.898,356.898
212,2224,SO43681,262,3,1,183.9382,183.9382
213,2224,SO43681,270,3,1,183.9382,183.9382
214,2224,SO43681,212,18,1,20.1865,20.1865
215,2224,SO43681,223,10,2,5.1865,10.373
216,2224,SO43681,215,18,2,20.1865,40.373
217,2224,SO43681,220,18,2,20.1865,40.373
218,2224,SO43681,235,7,2,28.8404,57.6808
219,2224,SO43681,285,4,2,178.5808,357.1616
220,2224,SO43681,272,3,2,183.9382,367.8764
221,2224,SO43681,324,13,2,419.4589,838.9178
222,2224,SO43681,330,13,2,419.4589,838.9178
223,2224,SO43681,322,13,2,419.4589,838.9178
224,2224,SO43681,319,17,3,874.794,2624.382
225,2881,SO43682,342,17,2,419.4589,838.9178
226,2881,SO43682,326,13,1,419.4589,419.4589
227,2881,SO43682,232,7,1,28.8404,28.8404
228,2881,SO43682,319,17,2,874.794,1749.588
229,2881,SO43682,322,13,2,419.4589,838.9178
230,1479,SO43683,346,17,2,2039.994,4079.988
231,1479,SO43683,349,17,2,2024.994,4049.988
232,1479,SO43683,223,10,3,5.1865,15.5595
233,1479,SO43683,212,18,3,20.1865,60.5595
234,1479,SO43683,348,17,4,2024.994,8099.976
235,1479,SO43683,351,17,5,2024.994,10124.97
236,1479,SO43683,218,9,6,5.7,34.2
237,1479,SO43683,350,17,6,2024.994,12149.964
238,1479,SO43683,232,7,2,28.8404,57.6808
239,1479,SO43683,347,17,1,2039.994,2039.994
240,1479,SO43683,345,17,1,2039.994,2039.994
241,1479,SO43683,215,18,1,20.1865,20.1865
242,1479,SO43683,220,18,2,20.1865,40.373
243,2313,SO43684,328,15,1,419.4589,419.4589
244,2313,SO43684,322,13,1,419.4589,419.4589
245,2313,SO43684,342,17,1,419.4589,419.4589
246,2313,SO43684,315,17,2,874.794,1749.588
247,2313,SO43684,319,17,2,874.794,1749.588
248,2313,SO43684,326,13,2,419.4589,838.9178
249,2353,SO43685,328,15,1,419.4589,419.4589
250,2353,SO43685,262,3,1,183.9382,183.9382
251,2353,SO43685,315,17,1,874.794,874.794
252,2353,SO43685,332,15,3,419.4589,1258.3767
253,1923,SO43686,342,17,1,419.4589,419.4589
254,1923,SO43686,326,13,1,419.4589,419.4589
255,1923,SO43686,319,17,3,874.794,2624.382
256,3142,SO43687,338,15,1,419.4589,419.4589
257,3142,SO43687,332,15,2,419.4589,838.9178
258,2983,SO43688,285,4,1,178.5808,178.5808
259,2983,SO43688,262,3,1,183.9382,183.9382
260,2983,SO43688,270,3,2,183.9382,367.8764
261,2983,SO43688,332,15,3,419.4589,1258.3767
262,2983,SO43688,314,17,2,2146.962,4293.924
263,2983,SO43688,315,17,2,874.794,1749.588
264,2983,SO43688,319,17,2,874.794,1749.588
265,2983,SO43688,322,13,2,419.4589,838.9178
266,2983,SO43688,326,13,3,419.4589,1258.3767
267,2983,SO43688,342,17,1,419.4589,419.4589
268,2983,SO43688,328,15,1,419.4589,419.4589
269,472,SO43689,326,13,9,419.4589,3775.1301
270,472,SO43689,275,3,2,356.898,713.796
271,472,SO43689,314,17,1,2146.962,2146.962
272,472,SO43689,253,3,1,178.5808,178.5808
273,472,SO43689,285,4,2,178.5808,357.1616
274,472,SO43689,262,3,2,183.9382,367.8764
275,472,SO43689,270,3,2,183.9382,367.8764
276,472,SO43689,272,3,2,183.9382,367.8764
277,472,SO43689,310,17,2,2146.962,4293.924
278,472,SO43689,316,17,2,874.794,1749.588
279,472,SO43689,338,15,2,419.4589,838.9178
280,472,SO43689,324,13,2,419.4589,838.9178
281,472,SO43689,342,17,2,419.4589,838.9178
282,472,SO43689,319,17,3,874.794,2624.382
283,472,SO43689,330,13,3,419.4589,1258.3767
284,472,SO43689,264,3,3,183.9382,551.8146
285,472,SO43689,315,17,4,874.794,3499.176
286,472,SO43689,334,15,4,419.4589,1677.8356
287,472,SO43689,332,15,5,419.4589,2097.2945
288,472,SO43689,328,15,6,419.4589,2516.7534
289,472,SO43689,322,13,7,419.4589,2936.2123
290,2648,SO43690,342,17,1,419.4589,419.4589
291,2648,SO43690,232,7,1,28.8404,28.8404
292,2648,SO43690,223,10,2,5.1865,10.373
293,2648,SO43690,322,13,2,419.4589,838.9178
294,743,SO43691,319,17,1,874.794,874.794
295,409,SO43692,324,13,3,419.4589,1258.3767
296,409,SO43692,338,15,1,419.4589,419.4589
297,409,SO43692,328,15,1,419.4589,419.4589
298,409,SO43692,330,13,1,419.4589,419.4589
299,409,SO43692,334,15,1,419.4589,419.4589
300,409,SO43692,253,3,1,178.5808,178.5808
301,409,SO43692,262,3,1,183.9382,183.9382
302,409,SO43692,285,4,2,178.5808,357.1616
303,409,SO43692,272,3,2,183.9382,367.8764
304,409,SO43692,270,3,2,183.9382,367.8764
305,409,SO43692,264,3,2,183.9382,367.8764
306,409,SO43692,314,17,2,2146.962,4293.924
307,409,SO43692,316,17,2,874.794,1749.588
308,409,SO43692,332,15,2,419.4589,838.9178
309,409,SO43692,275,3,3,356.898,1070.694
310,409,SO43692,215,18,3,20.1865,60.5595
311,409,SO43692,220,18,3,20.1865,60.5595
312,409,SO43692,212,18,4,20.1865,80.746
313,409,SO43692,229,7,4,28.8404,115.3616
314,409,SO43692,235,7,4,28.8404,115.3616
315,409,SO43692,317,17,4,874.794,3499.176
316,409,SO43692,342,17,5,419.4589,2097.2945
317,409,SO43692,223,10,6,5.1865,31.119
318,409,SO43692,326,13,6,419.4589,2516.7534
319,409,SO43692,322,13,7,419.4589,2936.2123
320,409,SO43692,315,17,8,874.794,6998.352
321,409,SO43692,319,17,8,874.794,6998.352
322,409,SO43692,232,7,10,28.8404,288.404
323,2145,SO43693,344,17,3,2039.994,6119.982
324,2145,SO43693,345,17,1,2039.994,2039.994
325,2145,SO43693,351,17,1,2024.994,2024.994
326,2145,SO43693,212,18,2,20.1865,40.373
327,2145,SO43693,215,18,2,20.1865,40.373
328,2145,SO43693,346,17,1,2039.994,2039.994
329,2145,SO43693,350,17,3,2024.994,6074.982
330,2145,SO43693,235,7,3,28.8404,86.5212
331,2145,SO43693,218,9,6,5.7,34.2
332,2145,SO43693,347,17,1,2039.994,2039.994
333,2098,SO43694,220,18,5,20.1865,100.9325
334,2098,SO43694,345,17,1,2039.994,2039.994
335,2098,SO43694,347,17,1,2039.994,2039.994
336,2098,SO43694,223,10,1,5.1865,5.1865
337,2098,SO43694,212,18,1,20.1865,20.1865
338,2098,SO43694,215,18,1,20.1865,20.1865
339,2098,SO43694,232,7,2,28.8404,57.6808
340,2098,SO43694,346,17,2,2039.994,4079.988
341,2098,SO43694,344,17,3,2039.994,6119.982
342,2098,SO43694,349,17,3,2024.994,6074.982
343,2098,SO43694,235,7,3,28.8404,86.5212
344,2183,SO43695,304,12,1,714.7043,714.7043
345,2183,SO43695,293,12,1,722.5949,722.5949
346,2183,SO43695,218,9,2,5.7,11.4
347,2183,SO43695,307,12,2,722.5949,1445.1898
348,2183,SO43695,347,17,2,2039.994,4079.988
349,2183,SO43695,350,17,5,2024.994,10124.97
350,2183,SO43695,348,17,5,2024.994,10124.97
351,2183,SO43695,351,17,6,2024.994,12149.964
352,2406,SO43696,326,13,1,419.4589,419.4589
353,2661,SO43843,300,12,1,809.76,809.76
354,2661,SO43843,292,12,1,818.7,818.7
355,2661,SO43843,218,9,2,5.7,11.4
356,2661,SO43843,293,12,2,722.5949,1445.1898
357,2661,SO43843,307,12,2,722.5949,1445.1898
358,2661,SO43843,347,17,2,2039.994,4079.988
359,2661,SO43843,351,17,2,2024.994,4049.988
360,2661,SO43843,349,17,3,2024.994,6074.982
361,2661,SO43843,350,17,5,2024.994,10124.97
362,2661,SO43843,344,17,2,2039.994,4079.988
363,1392,SO43844,351,17,1,2024.994,2024.994
364,1392,SO43844,349,17,2,2024.994,4049.988
365,1392,SO43844,350,17,3,2024.994,6074.982
366,1392,SO43844,348,17,4,2024.994,8099.976
367,1989,SO43845,262,3,1,183.9382,183.9382
368,1989,SO43845,342,17,1,419.4589,419.4589
369,1989,SO43845,315,17,1,874.794,874.794
370,1989,SO43845,270,3,1,183.9382,183.9382
371,1989,SO43845,314,17,2,2146.962,4293.924
372,1989,SO43845,324,13,2,419.4589,838.9178
373,1989,SO43845,328,15,2,419.4589,838.9178
374,1989,SO43845,332,15,2,419.4589,838.9178
375,1989,SO43845,232,7,3,28.8404,86.5212
376,1989,SO43845,223,10,4,5.1865,20.746
377,1021,SO43846,285,4,1,178.5808,178.5808
378,1021,SO43846,270,3,3,183.9382,551.8146
379,1021,SO43846,262,3,1,183.9382,183.9382
380,1021,SO43846,223,10,1,5.1865,5.1865
381,901,SO43847,319,17,1,874.794,874.794
382,901,SO43847,223,10,1,5.1865,5.1865
383,901,SO43847,232,7,1,28.8404,28.8404
384,1956,SO43848,349,17,4,2024.994,8099.976
385,1956,SO43848,346,17,1,2039.994,2039.994
386,1956,SO43848,351,17,1,2024.994,2024.994
387,1956,SO43848,348,17,1,2024.994,2024.994
388,1956,SO43848,344,17,2,2039.994,4079.988
389,1516,SO43849,229,7,1,28.8404,28.8404
390,1516,SO43849,345,17,1,2039.994,2039.994
391,1516,SO43849,220,18,1,20.1865,20.1865
392,1516,SO43849,212,18,1,20.1865,20.1865
393,1516,SO43849,215,18,1,20.1865,20.1865
394,1516,SO43849,346,17,1,2039.994,2039.994
395,1516,SO43849,344,17,2,2039.994,4079.988
396,1516,SO43849,347,17,2,2039.994,4079.988
397,1516,SO43849,349,17,2,2024.994,4049.988
398,1516,SO43849,350,17,2,2024.994,4049.988
399,1516,SO43849,232,7,4,28.8404,115.3616
400,1221,SO43850,314,17,1,2146.962,2146.962
401,1221,SO43850,324,13,1,419.4589,419.4589
402,1221,SO43850,332,15,1,419.4589,419.4589
403,1221,SO43850,316,17,1,874.794,874.794
404,1221,SO43850,317,17,1,874.794,874.794
405,1221,SO43850,285,4,1,178.5808,178.5808
406,1221,SO43850,270,3,1,183.9382,183.9382
407,1221,SO43850,326,13,2,419.4589,838.9178
408,1221,SO43850,319,17,3,874.794,2624.382
409,1221,SO43850,275,3,3,356.898,1070.694
410,1221,SO43850,262,3,3,183.9382,551.8146
411,2937,SO43851,285,4,3,178.5808,535.7424
412,2937,SO43851,332,15,1,419.4589,419.4589
413,2937,SO43851,315,17,1,874.794,874.794
414,2937,SO43851,314,17,1,2146.962,2146.962
415,2937,SO43851,262,3,1,183.9382,183.9382
416,2937,SO43851,223,10,1,5.1865,5.1865
417,2937,SO43851,220,18,1,20.1865,20.1865
418,2937,SO43851,212,18,1,20.1865,20.1865
419,2937,SO43851,324,13,2,419.4589,838.9178
420,2937,SO43851,342,17,3,419.4589,1258.3767
421,2937,SO43851,322,13,1,419.4589,419.4589
422,2937,SO43851,215,18,3,20.1865,60.5595
423,1404,SO43852,349,17,1,2024.994,2024.994
424,1386,SO43853,346,17,1,2039.994,2039.994
425,1386,SO43853,344,17,1,2039.994,2039.994
426,1386,SO43853,350,17,2,2024.994,4049.988
427,1386,SO43853,348,17,2,2024.994,4049.988
428,1386,SO43853,351,17,3,2024.994,6074.982
429,1386,SO43853,349,17,4,2024.994,8099.976
430,1344,SO43854,319,17,2,874.794,1749.588
431,1328,SO43855,314,17,1,2146.962,2146.962
432,1328,SO43855,334,15,1,419.4589,419.4589
433,1328,SO43855,316,17,1,874.794,874.794
434,1328,SO43855,285,4,1,178.5808,178.5808
435,1328,SO43855,264,3,1,183.9382,183.9382
436,1328,SO43855,262,3,1,183.9382,183.9382
437,1328,SO43855,275,3,2,356.898,713.796
438,1328,SO43855,338,15,2,419.4589,838.9178
439,1328,SO43855,322,13,2,419.4589,838.9178
440,1328,SO43855,342,17,2,419.4589,838.9178
441,1328,SO43855,332,15,2,419.4589,838.9178
442,1328,SO43855,326,13,3,419.4589,1258.3767
443,1328,SO43855,324,13,4,419.4589,1677.8356
444,908,SO43856,218,9,2,5.7,11.4
445,908,SO43856,350,17,1,2024.994,2024.994
446,752,SO43857,332,15,1,419.4589,419.4589
447,752,SO43857,328,15,1,419.4589,419.4589
448,752,SO43857,262,3,1,183.9382,183.9382
449,752,SO43857,215,18,1,20.1865,20.1865
450,752,SO43857,235,7,1,28.8404,28.8404
451,752,SO43857,212,18,2,20.1865,40.373
452,752,SO43857,220,18,2,20.1865,40.373
453,752,SO43857,285,4,2,178.5808,357.1616
454,752,SO43857,315,17,2,874.794,1749.588
455,752,SO43857,326,13,2,419.4589,838.9178
456,752,SO43857,319,17,3,874.794,2624.382
457,752,SO43857,223,10,3,5.1865,15.5595
458,752,SO43857,232,7,1,28.8404,28.8404
459,752,SO43857,322,13,1,419.4589,419.4589
460,3018,SO43858,285,4,2,178.5808,357.1616
461,3018,SO43858,332,15,1,419.4589,419.4589
462,3018,SO43858,334,15,1,419.4589,419.4589
463,3018,SO43858,317,17,1,874.794,874.794
464,3018,SO43858,253,3,1,178.5808,178.5808
465,3018,SO43858,264,3,1,183.9382,183.9382
466,3018,SO43858,270,3,1,183.9382,183.9382
467,3018,SO43858,314,17,2,2146.962,4293.924
468,3018,SO43858,315,17,2,874.794,1749.588
469,3018,SO43858,324,13,2,419.4589,838.9178
470,3018,SO43858,326,13,2,419.4589,838.9178
471,3018,SO43858,328,15,3,419.4589,1258.3767
472,3018,SO43858,342,17,5,419.4589,2097.2945
473,262,SO43859,326,13,1,419.4589,419.4589
474,262,SO43859,322,13,2,419.4589,838.9178
475,262,SO43859,319,17,3,874.794,2624.382
476,262,SO43859,232,7,1,28.8404,28.8404
477,1854,SO43860,328,15,1,419.4589,419.4589
478,1854,SO43860,275,3,1,356.898,356.898
479,1854,SO43860,285,4,1,178.5808,178.5808
480,1854,SO43860,270,3,1,183.9382,183.9382
481,1854,SO43860,314,17,2,2146.962,4293.924
482,1854,SO43860,319,17,2,874.794,1749.588
483,1854,SO43860,324,13,2,419.4589,838.9178
484,1854,SO43860,332,15,2,419.4589,838.9178
485,1854,SO43860,317,17,1,874.794,874.794
486,1854,SO43860,326,13,1,419.4589,419.4589
487,1854,SO43860,342,17,1,419.4589,419.4589
488,1854,SO43860,338,15,1,419.4589,419.4589
489,2204,SO43861,334,15,2,419.4589,838.9178
490,2204,SO43861,314,17,1,2146.962,2146.962
491,2204,SO43861,275,3,1,356.898,356.898
492,2204,SO43861,285,4,1,178.5808,178.5808
493,2204,SO43861,262,3,1,183.9382,183.9382
494,2204,SO43861,253,3,2,178.5808,357.1616
495,2204,SO43861,276,3,2,356.898,713.796
496,2204,SO43861,272,3,2,183.9382,367.8764
497,2204,SO43861,270,3,2,183.9382,367.8764
498,2204,SO43861,317,17,2,874.794,1749.588
499,2204,SO43861,316,17,2,874.794,1749.588
500,2204,SO43861,319,17,2,874.794,1749.588
501,2204,SO43861,338,15,2,419.4589,838.9178
502,2204,SO43861,324,13,2,419.4589,838.9178
503,2204,SO43861,328,15,2,419.4589,838.9178
504,2204,SO43861,315,17,3,874.794,2624.382
505,2204,SO43861,330,13,3,419.4589,1258.3767
506,2204,SO43861,229,7,3,28.8404,86.5212
507,2204,SO43861,215,18,3,20.1865,60.5595
508,2204,SO43861,220,18,4,20.1865,80.746
509,2204,SO43861,212,18,4,20.1865,80.746
510,2204,SO43861,332,15,4,419.4589,1677.8356
511,2204,SO43861,322,13,4,419.4589,1677.8356
512,2204,SO43861,342,17,5,419.4589,2097.2945
513,2204,SO43861,235,7,6,28.8404,173.0424
514,2204,SO43861,232,7,9,28.8404,259.5636
515,2204,SO43861,223,10,9,5.1865,46.6785
516,2108,SO43862,307,12,2,722.5949,1445.1898
517,2108,SO43862,350,17,3,2024.994,6074.982
518,2108,SO43862,218,9,4,5.7,22.8
519,2108,SO43862,292,12,1,818.7,818.7
520,2108,SO43862,344,17,4,2039.994,8159.976
521,2108,SO43862,346,17,4,2039.994,8159.976
522,2108,SO43862,300,12,1,809.76,809.76
523,2108,SO43862,347,17,2,2039.994,4079.988
524,2108,SO43862,304,12,2,714.7043,1429.4086
525,314,SO43863,319,17,1,874.794,874.794
526,314,SO43863,223,10,1,5.1865,5.1865
527,314,SO43863,326,13,1,419.4589,419.4589
528,314,SO43863,322,13,1,419.4589,419.4589
529,554,SO43864,349,17,4,2024.994,8099.976
530,554,SO43864,300,12,1,809.76,809.76
531,554,SO43864,307,12,1,722.5949,722.5949
532,554,SO43864,304,12,1,714.7043,714.7043
533,554,SO43864,292,12,2,818.7,1637.4
534,554,SO43864,344,17,2,2039.994,4079.988
535,554,SO43864,351,17,2,2024.994,4049.988
536,554,SO43864,346,17,4,2039.994,8159.976
537,554,SO43864,345,17,5,2039.994,10199.97
538,345,SO43865,332,15,3,419.4589,1258.3767
539,345,SO43865,319,17,1,874.794,874.794
540,345,SO43865,314,17,1,2146.962,2146.962
541,345,SO43865,285,4,1,178.5808,178.5808
542,345,SO43865,262,3,1,183.9382,183.9382
543,345,SO43865,328,15,2,419.4589,838.9178
