SalesDetails,SalesOrderNumber,OrderDate,DueDate,ShipDate,CustomerKey,RegionKey,DiscountAmount,TotalAmount,SalesAmount,EmployeeKey
46,SO53460,2025-02-28,2025-03-12,2025-07-03,24,4,3477.82,107034.78,103556.96,127
47,SO44787,2023-05-31,2023-06-12,2023-07-06,75,4,1260.4,46173.72,44913.32,104
48,SO46964,2024-01-29,2024-02-10,2024-05-02,328,4,2879.94,86764.16,83884.22,126
49,SO53616,2025-02-28,2025-03-12,2025-07-03,3,4,2266.52,69589.23,67322.71,104
50,SO55282,2025-03-30,2025-04-11,2025-06-04,599,4,7255.38,166854.42,159599.04,127
51,SO51117,2024-12-28,2025-01-09,2025-04-01,41,4,164.38,11650.78,11486.4,125
52,SO57157,2025-04-30,2025-05-12,2025-07-05,257,4,1219.28,30687.7,29468.42,127
53,SO61243,2025-06-30,2025-07-12,2025-07-07,221,4,367.4,14608.22,14240.82,125
54,SO49063,2024-07-31,2024-08-12,2024-07-08,492,4,1.02,159.56,158.54,127
55,SO44500,2023-05-01,2023-05-13,2023-08-05,259,4,149.84,4710.94,4561.1,124
56,SO44115,2023-03-01,2023-03-13,2023-08-03,366,4,1238.58,66848.39,65609.81,104
57,SO44127,2023-03-01,2023-03-13,2023-08-03,608,4,3005.68,91014.79,88009.11,104
58,SO44791,2023-05-31,2023-06-12,2023-07-06,3,4,576.02,14494.39,13918.37,124
59,SO48758,2024-06-30,2024-07-12,2024-07-07,475,4,1364.7,40230.98,38866.28,125
60,SO65157,2025-08-29,2025-09-10,2025-05-09,582,4,630.5,22021.78,21391.28,104
61,SO71845,2025-11-29,2025-12-11,2025-06-12,187,4,686.6,34208.93,33522.33,124
62,SO47028,2024-01-29,2024-02-10,2024-05-02,312,4,1192.9,39992.94,38800.04,104
63,SO45299,2023-08-01,2023-08-13,2023-08-08,240,4,369.24,20432.44,20063.2,126
64,SO51795,2025-01-28,2025-02-09,2025-04-02,77,4,300.66,7633.06,7332.4,125
65,SO50289,2024-10-28,2024-11-09,2024-04-11,436,4,3456.64,105310.51,101853.87,126
66,SO67318,2025-09-29,2025-10-11,2025-06-10,292,4,143.22,5871.15,5727.93,125
67,SO51090,2024-12-28,2025-01-09,2025-04-01,475,4,2438.2,77500.3,75062.1,124
68,SO44315,2023-03-31,2023-04-12,2023-07-04,292,4,37.08,2597.03,2559.95,125
69,SO51809,2025-01-28,2025-02-09,2025-04-02,309,4,1689.34,44063.0,42373.66,125
70,SO44756,2023-05-31,2023-06-12,2023-07-06,93,4,490.1,14008.61,13518.51,124
71,SO50721,2024-11-28,2024-12-10,2024-05-12,23,4,401.34,13976.02,13574.68,125
72,SO47355,2024-02-29,2024-03-12,2024-07-03,24,4,3795.66,130185.68,126390.02,104
73,SO44557,2023-05-01,2023-05-13,2023-08-05,255,4,853.74,28122.99,27269.25,127
74,SO65209,2025-08-29,2025-09-10,2025-05-09,187,4,204.62,12552.2,12347.58,124
75,SO61184,2025-06-30,2025-07-12,2025-07-07,599,4,3181.3,94588.39,91407.09,127
76,SO44509,2023-05-01,2023-05-13,2023-08-05,328,4,1201.1,43615.42,42414.32,124
77,SO59023,2025-05-30,2025-06-11,2025-06-06,61,4,1001.84,34704.36,33702.52,124
78,SO69546,2025-10-29,2025-11-10,2025-05-11,493,4,189.06,8020.76,7831.7,126
79,SO44777,2023-05-31,2023-06-12,2023-07-06,366,4,3376.66,99502.03,96125.37,126
80,SO51126,2024-12-28,2025-01-09,2025-04-01,205,4,3250.66,116784.68,113534.02,125
81,SO65300,2025-08-29,2025-09-10,2025-05-09,165,4,71.32,1352.68,1281.36,127
82,SO53546,2025-02-28,2025-03-12,2025-07-03,624,4,1260.74,33869.95,32609.21,124
83,SO63150,2025-07-31,2025-08-12,2025-07-08,610,4,0.04,445.41,445.37,125
84,SO49533,2024-08-28,2024-09-09,2024-04-09,75,4,761.42,26461.1,25699.68,104
85,SO71923,2025-11-29,2025-12-11,2025-06-12,277,4,1.94,97.57,95.63,124
86,SO59014,2025-05-30,2025-06-11,2025-06-06,5,4,273.82,15380.65,15106.83,104
87,SO58907,2025-05-30,2025-06-11,2025-06-06,582,4,773.76,28421.53,27647.77,125
88,SO63213,2025-07-31,2025-08-12,2025-07-08,97,4,1310.3,60119.02,58808.72,126
89,SO48049,2024-04-30,2024-05-12,2024-07-05,312,4,1593.98,41010.33,39416.35,125
90,SO45535,2023-08-29,2023-09-10,2023-05-09,93,4,344.58,11256.83,10912.25,104
91,SO63251,2025-07-31,2025-08-12,2025-07-08,345,4,587.08,24667.06,24079.98,124
92,SO57144,2025-04-30,2025-05-12,2025-07-05,312,4,1136.9,31339.79,30202.89,127
93,SO71902,2025-11-29,2025-12-11,2025-06-12,61,4,2591.76,60527.0,57935.24,125
94,SO71915,2025-11-29,2025-12-11,2025-06-12,6,4,72.5,1732.89,1660.39,124
95,SO46960,2024-01-29,2024-02-10,2024-05-02,259,4,362.42,10176.98,9814.56,126
96,SO57034,2025-04-30,2025-05-12,2025-07-05,328,4,2358.16,76571.59,74213.43,126
97,SO50745,2024-11-28,2024-12-10,2024-05-12,61,4,1001.72,33997.36,32995.64,126
98,SO67298,2025-09-29,2025-10-11,2025-06-10,205,4,2964.74,102725.73,99760.99,124
99,SO48769,2024-06-30,2024-07-12,2024-07-07,221,4,531.7,24016.51,23484.81,125
100,SO51102,2024-12-28,2025-01-09,2025-04-01,437,4,695.74,30410.74,29715.0,124
101,SO63252,2025-07-31,2025-08-12,2025-07-08,309,4,1397.08,46031.08,44634.0,124
102,SO50226,2024-10-28,2024-11-09,2024-04-11,78,4,1782.1,56191.61,54409.51,127
103,SO58982,2025-05-30,2025-06-11,2025-06-06,311,4,566.64,21305.65,20739.01,127
104,SO53533,2025-02-28,2025-03-12,2025-07-03,509,4,887.94,26140.22,25252.28,125
105,SO50310,2024-10-28,2024-11-09,2024-04-11,309,4,1565.96,70067.51,68501.55,127
106,SO44783,2023-05-31,2023-06-12,2023-07-06,648,4,809.2,29614.21,28805.01,126
107,SO45334,2023-08-01,2023-08-13,2023-08-08,309,4,1502.0,51137.41,49635.41,127
108,SO59013,2025-05-30,2025-06-11,2025-06-06,75,4,678.46,30541.15,29862.69,126
109,SO51764,2025-01-28,2025-02-09,2025-04-02,492,4,50.32,1630.53,1580.21,125
110,SO44768,2023-05-31,2023-06-12,2023-07-06,647,4,733.62,21596.21,20862.59,124
111,SO51855,2025-01-28,2025-02-09,2025-04-02,436,4,1964.76,72632.77,70668.01,124
112,SO48071,2024-04-30,2024-05-12,2024-07-05,345,4,1351.78,34271.42,32919.64,127
113,SO67290,2025-09-29,2025-10-11,2025-06-10,41,4,362.48,9654.97,9292.49,126
114,SO49851,2024-09-28,2024-10-10,2024-05-10,184,4,834.84,37240.17,36405.33,104
115,SO51833,2025-01-28,2025-02-09,2025-04-02,385,4,1038.3,30591.57,29553.27,104
116,SO48363,2024-05-30,2024-06-11,2024-06-06,130,4,1895.36,51043.71,49148.35,104
117,SO51829,2025-01-28,2025-02-09,2025-04-02,563,4,275.32,10277.01,10001.69,124
118,SO71903,2025-11-29,2025-12-11,2025-06-12,201,4,181.54,3595.19,3413.65,124
119,SO48313,2024-05-30,2024-06-11,2024-06-06,23,4,470.8,13301.52,12830.72,126
120,SO46992,2024-01-29,2024-02-10,2024-05-02,97,4,1682.1,58519.48,56837.38,127
121,SO50292,2024-10-28,2024-11-09,2024-04-11,435,4,1532.54,41211.61,39679.07,104
122,SO47700,2024-03-30,2024-04-11,2024-06-04,184,4,959.3,35153.2,34193.9,126
123,SO57029,2025-04-30,2025-05-12,2025-07-05,259,4,127.4,5562.87,5435.47,126
124,SO46668,2023-12-29,2024-01-10,2024-05-01,221,4,1538.26,59990.03,58451.77,127
125,SO51714,2025-01-28,2025-02-09,2025-04-02,328,4,2120.04,78790.81,76670.77,126
126,SO44120,2023-03-01,2023-03-13,2023-08-03,75,4,648.12,26967.13,26319.01,127
127,SO63283,2025-07-31,2025-08-12,2025-07-08,312,4,908.86,38586.38,37677.52,125
128,SO71952,2025-11-29,2025-12-11,2025-06-12,490,4,1269.32,67404.9,66135.58,127
129,SO48375,2024-05-30,2024-06-11,2024-06-06,75,4,758.82,30039.14,29280.32,104
130,SO46675,2023-12-29,2024-01-10,2024-05-01,41,4,149.7,5755.73,5606.03,104
131,SO57138,2025-04-30,2025-05-12,2025-07-05,385,4,711.74,25604.63,24892.89,127
132,SO46057,2023-10-29,2023-11-10,2023-05-11,78,4,2088.58,62359.9,60271.32,125
133,SO46338,2023-11-29,2023-12-11,2023-06-12,417,4,528.5,19044.61,18516.11,125
134,SO50294,2024-10-28,2024-11-09,2024-04-11,312,4,710.34,29991.15,29280.81,104
135,SO45565,2023-08-29,2023-09-10,2023-05-09,75,4,1210.56,34558.16,33347.6,125
136,SO44113,2023-03-01,2023-03-13,2023-08-03,187,4,909.7,40510.3,39600.6,126
137,SO46625,2023-12-29,2024-01-10,2024-05-01,475,4,1656.64,45092.9,43436.26,124
138,SO48373,2024-05-30,2024-06-11,2024-06-06,61,4,1047.66,38235.73,37188.07,126
139,SO51144,2024-12-28,2025-01-09,2025-04-01,292,4,343.3,7025.65,6682.35,104
140,SO69532,2025-10-29,2025-11-10,2025-05-11,312,4,1715.48,54337.53,52622.05,125
141,SO44119,2023-03-01,2023-03-13,2023-08-03,648,4,1740.5,49096.11,47355.61,127
142,SO45301,2023-08-01,2023-08-13,2023-08-08,78,4,824.28,26592.07,25767.79,124
143,SO44107,2023-03-01,2023-03-13,2023-08-03,647,4,369.04,16185.43,15816.39,127
144,SO63201,2025-07-31,2025-08-12,2025-07-08,328,4,2098.0,73270.51,71172.51,104
145,SO50272,2024-10-28,2024-11-09,2024-04-11,97,4,1125.8,44893.21,43767.41,125
146,SO49831,2024-09-28,2024-10-10,2024-05-10,475,4,1397.02,48003.56,46606.54,127
147,SO46343,2023-11-29,2023-12-11,2023-06-12,273,4,900.1,29522.69,28622.6,127
148,SO50252,2024-10-28,2024-11-09,2024-04-11,167,4,2961.84,95415.12,92453.28,124
149,SO48384,2024-05-30,2024-06-11,2024-06-06,608,4,1079.86,67778.51,66698.65,124
150,SO44776,2023-05-31,2023-06-12,2023-07-06,187,4,1370.86,47370.77,45999.91,125
151,SO71782,2025-11-29,2025-12-11,2025-06-12,582,4,852.74,33319.99,32467.25,124
152,SO46058,2023-10-29,2023-11-10,2023-05-11,240,4,882.48,30181.71,29299.23,127
153,SO71881,2025-11-29,2025-12-11,2025-06-12,21,4,1346.18,36822.03,35475.85,127
154,SO51825,2025-01-28,2025-02-09,2025-04-02,345,4,1202.12,55934.06,54731.94,104
155,SO53614,2025-02-28,2025-03-12,2025-07-03,21,4,1565.36,61268.16,59702.8,127
156,SO48364,2024-05-30,2024-06-11,2024-06-06,165,4,122.48,3423.97,3301.49,125
157,SO44544,2023-05-01,2023-05-13,2023-08-05,312,4,400.1,20980.15,20580.05,126
158,SO45798,2023-09-29,2023-10-11,2023-06-10,203,4,776.18,29494.05,28717.87,104
159,SO49139,2024-07-31,2024-08-12,2024-07-08,257,4,746.94,22820.84,22073.9,104
160,SO69539,2025-10-29,2025-11-10,2025-05-11,529,4,339.84,7564.16,7224.32,125
161,SO48775,2024-06-30,2024-07-12,2024-07-07,203,4,1147.38,39579.48,38432.1,125
162,SO45555,2023-08-29,2023-09-10,2023-05-09,366,4,1940.04,65725.92,63785.88,124
163,SO48396,2024-05-30,2024-06-11,2024-06-06,490,4,988.18,31548.65,30560.47,104
164,SO55265,2025-03-30,2025-04-11,2025-06-04,41,4,254.76,6695.67,6440.91,124
165,SO67287,2025-09-29,2025-10-11,2025-06-10,491,4,1837.1,74592.84,72755.74,127
166,SO69505,2025-10-29,2025-11-10,2025-05-11,385,4,190.74,6150.97,5960.23,104
167,SO48745,2024-06-30,2024-07-12,2024-07-07,184,4,275.02,8874.41,8599.39,104
168,SO51131,2024-12-28,2025-01-09,2025-04-01,599,4,5133.98,175753.21,170619.23,126
169,SO50269,2024-10-28,2024-11-09,2024-04-11,583,4,34.62,1731.4,1696.78,104
170,SO45291,2023-08-01,2023-08-13,2023-08-08,328,4,1807.84,54553.84,52746.0,127
171,SO48012,2024-04-30,2024-05-12,2024-07-05,78,4,1834.26,51103.13,49268.87,124
172,SO47984,2024-04-30,2024-05-12,2024-07-05,259,4,115.1,5887.31,5772.21,124
173,SO51706,2025-01-28,2025-02-09,2025-04-02,259,4,142.12,7728.26,7586.14,126
174,SO50749,2024-11-28,2024-12-10,2024-05-12,21,4,704.1,25585.06,24880.96,127
175,SO44299,2023-03-31,2023-04-12,2023-07-04,203,4,974.96,31624.75,30649.79,124
176,SO50725,2024-11-28,2024-12-10,2024-05-12,473,4,137.72,4392.0,4254.28,125
177,SO51844,2025-01-28,2025-02-09,2025-04-02,313,4,121.14,5075.03,4953.89,127
178,SO58979,2025-05-30,2025-06-11,2025-06-06,509,4,792.52,21423.32,20630.8,127
179,SO61218,2025-06-30,2025-07-12,2025-07-07,475,4,1199.16,41798.52,40599.36,126
180,SO65307,2025-08-29,2025-09-10,2025-05-09,5,4,213.34,6654.79,6441.45,124
181,SO50313,2024-10-28,2024-11-09,2024-04-11,403,4,1599.78,53097.09,51497.31,127
182,SO47374,2024-02-29,2024-03-12,2024-07-03,23,4,900.66,28923.11,28022.45,124
183,SO49821,2024-09-28,2024-10-10,2024-05-10,4,4,1723.88,78175.05,76451.17,125
184,SO55249,2025-03-30,2025-04-11,2025-06-04,475,4,1510.12,51439.46,49929.34,126
185,SO51773,2025-01-28,2025-02-09,2025-04-02,167,4,1075.76,35830.44,34754.68,125
186,SO67320,2025-09-29,2025-10-11,2025-06-10,166,4,1736.2,52815.31,51079.11,126
187,SO69409,2025-10-29,2025-11-10,2025-05-11,259,4,238.74,6979.66,6740.92,127
188,SO59034,2025-05-30,2025-06-11,2025-06-06,151,4,18.14,411.7,393.56,126
189,SO46076,2023-10-29,2023-11-10,2023-05-11,167,4,2022.88,62344.0,60321.12,104
190,SO69412,2025-10-29,2025-11-10,2025-05-11,328,4,1507.94,61154.91,59646.97,124
191,SO47049,2024-01-29,2024-02-10,2024-05-02,345,4,1466.84,46321.89,44855.05,124
192,SO43873,2023-01-29,2023-02-10,2023-05-02,78,4,1318.54,41250.44,39931.9,104
193,SO59017,2025-05-30,2025-06-11,2025-06-06,25,4,68.62,2109.46,2040.84,125
194,SO47422,2024-02-29,2024-03-12,2024-07-03,130,4,2043.18,62640.46,60597.28,104
195,SO69515,2025-10-29,2025-11-10,2025-05-11,255,4,1004.42,35131.28,34126.86,127
196,SO57168,2025-04-30,2025-05-12,2025-07-05,436,4,1468.64,53901.92,52433.28,127
197,SO65160,2025-08-29,2025-09-10,2025-05-09,24,4,1168.2,53785.72,52617.52,124
198,SO46642,2023-12-29,2024-01-10,2024-05-01,4,4,2990.88,98013.19,95022.31,127
199,SO67325,2025-09-29,2025-10-11,2025-06-10,221,4,1369.68,34321.89,32952.21,124
200,SO61227,2025-06-30,2025-07-12,2025-07-07,491,4,1471.24,57449.6,55978.36,104
201,SO45516,2023-08-29,2023-09-10,2023-05-09,647,4,837.04,19162.24,18325.2,104
202,SO44538,2023-05-01,2023-05-13,2023-08-05,167,4,1510.76,57804.97,56294.21,104
203,SO45799,2023-09-29,2023-10-11,2023-06-10,491,4,843.72,27579.31,26735.59,124
204,SO65232,2025-08-29,2025-09-10,2025-05-09,490,4,1340.68,39225.17,37884.49,104
205,SO53490,2025-02-28,2025-03-12,2025-07-03,473,4,38.98,3483.37,3444.39,104
206,SO49076,2024-07-31,2024-08-12,2024-07-08,167,4,2563.38,79070.57,76507.19,125
207,SO51836,2025-01-28,2025-02-09,2025-04-02,255,4,1004.5,37414.85,36410.35,104
208,SO59068,2025-05-30,2025-06-11,2025-06-06,490,4,2026.4,68642.72,66616.32,127
209,SO61188,2025-06-30,2025-07-12,2025-07-07,331,4,1351.34,49123.69,47772.35,124
210,SO71816,2025-11-29,2025-12-11,2025-06-12,295,4,121.76,2847.41,2725.65,125
211,SO53496,2025-02-28,2025-03-12,2025-07-03,295,4,127.24,4132.85,4005.61,126
212,SO69545,2025-10-29,2025-11-10,2025-05-11,436,4,1703.52,63850.15,62146.63,124
213,SO44781,2023-05-31,2023-06-12,2023-07-06,674,4,3.84,424.65,420.81,127
214,SO48069,2024-04-30,2024-05-12,2024-07-05,309,4,2381.94,66455.02,64073.08,124
215,SO47018,2024-01-29,2024-02-10,2024-05-02,167,4,3030.04,107991.01,104960.97,127
216,SO53552,2025-02-28,2025-03-12,2025-07-03,23,4,281.58,7586.2,7304.62,127
217,SO44755,2023-05-31,2023-06-12,2023-07-06,273,4,936.08,28416.4,27480.32,126
218,SO47372,2024-02-29,2024-03-12,2024-07-03,649,4,306.6,11476.41,11169.81,124
219,SO46049,2023-10-29,2023-11-10,2023-05-11,328,4,1682.54,55740.72,54058.18,126
220,SO65310,2025-08-29,2025-09-10,2025-05-09,3,4,443.28,13084.21,12640.93,126
221,SO45074,2023-07-01,2023-07-13,2023-08-07,221,4,742.92,24030.57,23287.66,124
222,SO57128,2025-04-30,2025-05-12,2025-07-05,345,4,1320.34,40829.65,39509.31,104
223,SO69514,2025-10-29,2025-11-10,2025-05-11,313,4,98.04,3708.54,3610.5,104
224,SO49838,2024-09-28,2024-10-10,2024-05-10,41,4,230.38,6016.65,5786.27,126
225,SO48066,2024-04-30,2024-05-12,2024-07-05,385,4,1145.3,39130.25,37984.95,125
226,SO48314,2024-05-30,2024-06-11,2024-06-06,649,4,122.2,4707.86,4585.66,126
227,SO53470,2025-02-28,2025-03-12,2025-07-03,420,4,1247.72,60716.68,59468.96,126
228,SO50753,2024-11-28,2024-12-10,2024-05-12,608,4,1530.8,52108.78,50577.98,126
229,SO47720,2024-03-30,2024-04-11,2024-06-04,221,4,1549.2,43396.37,41847.17,104
230,SO67273,2025-09-29,2025-10-11,2025-06-10,475,4,1630.54,54081.18,52450.64,104
231,SO51722,2025-01-28,2025-02-09,2025-04-02,258,4,1385.16,38335.39,36950.23,104
232,SO71896,2025-11-29,2025-12-11,2025-06-12,648,4,1543.62,40429.66,38886.04,126
233,SO57033,2025-04-30,2025-05-12,2025-07-05,610,4,0.18,12.14,11.96,125
234,SO47677,2024-03-30,2024-04-11,2024-06-04,475,4,1647.36,41683.57,40036.21,104
235,SO51842,2025-01-28,2025-02-09,2025-04-02,257,4,1521.48,44630.46,43108.98,124
236,SO63285,2025-07-31,2025-08-12,2025-07-08,436,4,1286.96,47450.61,46163.65,124
237,SO49841,2024-09-28,2024-10-10,2024-05-10,203,4,1279.46,43579.46,42300.0,124
238,SO58909,2025-05-30,2025-06-11,2025-06-06,24,4,1111.7,74230.73,73119.03,127
239,SO43906,2023-01-29,2023-02-10,2023-05-02,309,4,1191.84,32983.67,31791.83,126
240,SO71882,2025-11-29,2025-12-11,2025-06-12,75,4,627.72,31921.79,31294.07,124
241,SO44481,2023-05-01,2023-05-13,2023-08-05,492,4,646.78,26367.4,25720.62,126
242,SO65223,2025-08-29,2025-09-10,2025-05-09,382,4,0.18,24.29,24.11,124
243,SO50746,2024-11-28,2024-12-10,2024-05-12,5,4,202.02,7654.39,7452.37,125
244,SO69509,2025-10-29,2025-11-10,2025-05-11,131,4,639.2,29149.09,28509.89,126
245,SO71889,2025-11-29,2025-12-11,2025-06-12,3,4,972.0,26676.7,25704.7,124
246,SO65315,2025-08-29,2025-09-10,2025-05-09,21,4,761.62,23774.14,23012.52,104
247,SO69527,2025-10-29,2025-11-10,2025-05-11,257,4,806.52,27710.13,26903.61,126
248,SO46101,2023-10-29,2023-11-10,2023-05-11,403,4,1095.92,28097.08,27001.16,127
249,SO53531,2025-02-28,2025-03-12,2025-07-03,187,4,1181.2,38783.56,37602.36,104
250,SO46103,2023-10-29,2023-11-10,2023-05-11,40,4,1860.08,65730.47,63870.39,104
251,SO61247,2025-06-30,2025-07-12,2025-07-07,292,4,40.22,3263.35,3223.13,127
252,SO46082,2023-10-29,2023-11-10,2023-05-11,312,4,1642.06,46519.14,44877.08,104
253,SO44566,2023-05-01,2023-05-13,2023-08-05,40,4,1328.52,38308.86,36980.34,104
254,SO49472,2024-08-28,2024-09-09,2024-04-09,187,4,448.06,14819.64,14371.58,124
255,SO59049,2025-05-30,2025-06-11,2025-06-06,277,4,5.96,2227.39,2221.43,124
256,SO50672,2024-11-28,2024-12-10,2024-05-12,239,4,2579.46,79042.19,76462.73,126
257,SO45530,2023-08-29,2023-09-10,2023-05-09,624,4,0.2,20.19,19.99,126
258,SO45536,2023-08-29,2023-09-10,2023-05-09,273,4,364.76,21442.98,21078.22,126
259,SO46341,2023-11-29,2023-12-11,2023-06-12,93,4,866.18,25670.36,24804.18,124
260,SO48047,2024-04-30,2024-05-12,2024-07-05,493,4,0.2,14.13,13.93,126
261,SO55322,2025-03-30,2025-04-11,2025-06-04,221,4,757.44,28007.63,27250.19,104
262,SO43859,2023-01-29,2023-02-10,2023-05-02,259,4,150.24,3911.6,3761.36,124
263,SO49127,2024-07-31,2024-08-12,2024-07-08,436,4,1888.0,74205.01,72317.01,126
264,SO46083,2023-10-29,2023-11-10,2023-05-11,256,4,453.1,12363.64,11910.54,104
265,SO49498,2024-08-28,2024-09-09,2024-04-09,239,4,2165.22,57161.06,54995.84,126
266,SO55251,2025-03-30,2025-04-11,2025-06-04,437,4,1289.92,41875.98,40586.06,125
267,SO49532,2024-08-28,2024-09-09,2024-04-09,61,4,1490.12,40310.02,38819.9,126
268,SO65167,2025-08-29,2025-09-10,2025-05-09,311,4,566.9,19300.93,18734.03,125
269,SO43872,2023-01-29,2023-02-10,2023-05-02,240,4,425.84,11584.46,11158.62,126
270,SO46340,2023-11-29,2023-12-11,2023-06-12,580,4,113.56,3887.95,3774.39,127
271,SO63180,2025-07-31,2025-08-12,2025-07-08,167,4,769.8,21534.17,20764.37,126
272,SO57085,2025-04-30,2025-05-12,2025-07-05,167,4,1001.44,26886.47,25885.03,124
273,SO47689,2024-03-30,2024-04-11,2024-06-04,491,4,34.42,812.43,778.01,124
274,SO53606,2025-02-28,2025-03-12,2025-07-03,61,4,1610.26,46742.78,45132.52,125
275,SO65183,2025-08-29,2025-09-10,2025-05-09,624,4,1547.42,36396.1,34848.68,124
276,SO71783,2025-11-29,2025-12-11,2025-06-12,24,4,2602.52,68142.61,65540.09,104
277,SO44556,2023-05-01,2023-05-13,2023-08-05,309,4,762.52,30593.88,29831.36,127
278,SO46094,2023-10-29,2023-11-10,2023-05-11,309,4,2592.9,74719.78,72126.88,127
279,SO71849,2025-11-29,2025-12-11,2025-06-12,311,4,568.52,19322.03,18753.51,104
280,SO45534,2023-08-29,2023-09-10,2023-05-09,581,4,1256.3,37592.06,36335.76,125
281,SO57145,2025-04-30,2025-05-12,2025-07-05,435,4,957.92,44595.3,43637.38,104
282,SO44093,2023-03-01,2023-03-13,2023-08-03,93,4,282.16,10680.73,10398.57,104
283,SO65293,2025-08-29,2025-09-10,2025-05-09,277,4,166.62,3129.93,2963.31,127
284,SO49540,2024-08-28,2024-09-09,2024-04-09,21,4,536.7,17254.0,16717.3,126
285,SO43901,2023-01-29,2023-02-10,2023-05-02,385,4,414.16,22717.6,22303.44,127
286,SO47456,2024-02-29,2024-03-12,2024-07-03,490,4,1581.6,48294.23,46712.63,127
